Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.2517
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.3995
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9260
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.8860
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.5479
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.7496
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.0484
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	11.9297
HDFC Corporate Bond Fund - Growth Option	31.4128
HDFC Corporate Bond Fund - Growth Option - Direct Plan	32.0702
HDFC Corporate Bond Fund - IDCW Option	19.0163
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	19.6503
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4385
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.3042
HSBC Corporate Bond Fund - Direct Annual IDCW	12.4598
HSBC Corporate Bond Fund - Direct Growth	74.8881
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.3964
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.3346
HSBC Corporate Bond Fund - Regular Annual IDCW	12.2072
HSBC Corporate Bond Fund - Regular Growth	70.3932
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.0047
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0196
HSBC Corporate Bond Fund -Regular Plan - Bonus	26.7392
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	30.1244
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2509
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.2404
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	28.7832
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4052
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.0218
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1892.0739
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1303.2058
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3279.1073
Invesco India Corporate Bond Fund - Direct Plan - Growth	3278.0749
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1257.9642
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1328.4877
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	3217.5815
Invesco India Corporate Bond Fund - Growth	3063.6117
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1755.9605
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1162.2998
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3793.6243
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1081.0683
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3637.9301
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1185.0972
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	12.5256
Mirae Asset Corporate Bond Fund Direct IDCW	12.5230
Mirae Asset Corporate Bond Fund Regular Growth	12.3098
Mirae Asset Corporate Bond Fund Regular IDCW	12.3098
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0888
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0897
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	19.1845
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7810
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.1804
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.0944
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	43.2252
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	60.5432
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	41.2656
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	57.7793
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	18.5109
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6519
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.0239
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.0943
PGIM India Corporate Bond Fund - Annual Dividend	10.8544
